Trap_pair,Buoy_number,Bait_type,Date_set,Time_set,SST_set,Date_retrieved,Time_retrieved,Deployment_nights,Deployment_time_hours,SST_retrieved,Lobster,Num_short,Num_legalsize,Num_Vnotch,Num_egged,Total_crab,Rock_crab,Green_crab,Bait remaining,Notes
S-A,S16,100F,06/13,600,55,06/16,1000,3,72,65,2,2,0,0,0,0,0,0,90,
S-A,S15,HERRING,06/13,600,55,06/16,1000,3,72,65,3,1,1,1,0,1,1,0,90,
S-B,S17,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,15,12,3,0,
S-B,S18,100F,06/13,600,55,06/16,1000,3,72,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,STUCK
S-C,S11,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,8,8,0,5,
S-C,S12,100F,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,0,0,0,75,
S-D,S13,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,0,0,0,5,1 skate
S-D,S14,100F,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,13,13,0,5,
S-E,S7,HERRING,06/13,600,55,06/16,1000,3,72,65,3,1,1,1,0,17,17,0,5,
S-E,S8,100F,06/13,600,55,06/16,1000,3,72,65,1,0,1,0,0,11,11,0,0,
S-F,S9,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,0,0,0,90,1 Cunner
S-F,S10,50:50,06/13,600,55,06/16,1000,3,72,65,3,3,0,0,0,0,0,0,80,
S-G,S3,HERRING,06/13,600,55,06/16,1000,3,72,65,3,1,1,1,0,1,1,0,90,
S-G,S4,50:50,06/13,600,55,06/16,1000,3,72,65,1,1,0,0,0,0,0,0,90,
S-H,S19,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,11,11,0,5,
S-H,S20,50:50,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,6,6,0,0,
N-A,N9,50:50,06/13,600,55,06/16,1000,3,72,65,2,1,1,0,0,9,9,0,25,
N-A,N5,HERRING,06/13,600,55,06/16,1000,3,72,65,5,4,1,0,0,7,0,0,5,
